Province,Infected,Active,Recovered,Deaths,Recovery Rate,Death Rate
Ha Noi,945,407,518,20,54.81481481481482,2.1164021164021163
Ha Giang,4,1,3,0,75.0,0.0
Cao Bang,0,0,0,0,,
Bac Kan,6,6,0,0,0.0,0.0
Tuyen Quang,1,0,1,0,100.0,0.0
Lao Cai,9,7,2,0,22.22222222222222,0.0
Dien Bien,59,7,52,0,88.13559322033898,0.0
Lai Chau,1,0,1,0,100.0,0.0
Son La,1,1,0,0,0.0,0.0
Yen Bai,5,0,5,0,100.0,0.0
Hoa Binh,40,7,33,0,82.5,0.0
Thai Nguyen,19,5,10,0,52.63157894736842,0.0
Lang Son,117,96,20,1,17.094017094017094,0.8547008547008548
Quang Ninh,104,17,87,0,83.65384615384616,0.0
Bac Giang,5951,2347,3592,12,60.35960342799529,0.20164678205343642
Phu Tho,8,3,5,0,62.5,0.0
Vinh Phuc,133,83,50,0,37.59398496240601,0.0
Bac Ninh,1728,675,1042,11,60.30092592592593,0.6365740740740741
Hai Duong,817,13,804,0,98.40881272949817,0.0
Hai Phong,33,21,12,0,36.36363636363637,0.0
Hung Yen,273,205,68,0,24.90842490842491,0.0
Thai Binh,78,22,56,0,71.7948717948718,0.0
Ha Nam,65,15,50,0,76.92307692307693,0.0
Nam Dinh,31,13,18,0,58.06451612903226,0.0
Ninh Binh,54,17,37,0,68.51851851851852,0.0
Thanh Hoa,78,52,26,0,33.33333333333333,0.0
Nghe An,163,157,5,1,3.067484662576687,0.6134969325153374
Ha Tinh,139,118,20,1,14.388489208633093,0.7194244604316548
Quang Binh,1,1,0,0,0.0,0.0
Quang Tri,18,5,12,1,66.66666666666666,5.555555555555555
Thua Thien Hue,13,7,6,0,46.15384615384615,0.0
Da Nang,958,307,617,34,64.40501043841336,3.549060542797495
Quang Nam,166,40,123,3,74.09638554216868,1.8072289156626504
Quang Ngai,219,211,8,0,3.65296803652968,0.0
Binh Dinh,53,52,1,0,1.8867924528301887,0.0
Phu Yen,732,704,28,0,3.825136612021858,0.0
Khanh Hoa,771,643,128,0,16.601815823605705,0.0
Ninh Thuan,50,38,12,0,24.0,0.0
Binh Thuan,126,115,11,0,8.73015873015873,0.0
Kon Tum,0,0,0,0,,
Gia Lai,41,14,27,0,65.85365853658537,0.0
Dak Lak,14,10,4,0,28.57142857142857,0.0
Dak Nong,13,13,0,0,0.0,0.0
Lam Dong,19,19,0,0,0.0,0.0
Binh Phuoc,93,93,0,0,0.0,0.0
Tay Ninh,257,205,51,1,19.844357976653697,0.38910505836575876
Binh Duong,3077,3029,45,3,1.4624634384140396,0.09749756256093597
Dong Nai,1005,971,32,2,3.1840796019900495,0.1990049751243781
Ba Ria - Vung Tau,341,214,127,0,37.24340175953079,0.0
Ho Chi Minh,34408,33593,692,123,2.0111601953034177,0.3574750058126017
Long An,744,723,11,10,1.478494623655914,1.3440860215053763
Tien Giang,895,889,5,1,0.5586592178770949,0.11173184357541899
Ben Tre,217,199,18,0,8.294930875576037,0.0
Tra Vinh,87,79,8,0,9.195402298850574,0.0
Vinh Long,381,368,13,0,3.4120734908136483,0.0
Dong Thap,1332,1284,27,21,2.027027027027027,1.5765765765765765
An Giang,171,161,9,1,5.263157894736842,0.5847953216374269
Kien Giang,163,136,27,0,16.56441717791411,0.0
Can Tho,145,110,35,0,24.137931034482758,0.0
Hau Giang,47,47,0,0,0.0,0.0
Soc Trang,60,60,0,0,0.0,0.0
Bac Lieu,65,12,53,0,81.53846153846153,0.0
Ca Mau,26,18,8,0,30.76923076923077,0.0
